pedido_id;data;produto;categoria;quantidade;valor_unitario;canal
P10099;24/2/2026;Jaqueta corta-vento;vestuario;4;219,90;site
P10100;8/3/2026;TÊNIS CORRIDA;calcados;3;299,00;site
P10101;2026-03-09;Jaqueta corta-vento;vestuario;4;219.90;loja
P10102;25/02/2026;Chinelo slide;calcados;5;R$ 39,90;loja
P10103;10-03-26;Jaqueta corta-vento;vestuario;5;R$ 219,90;marketplace
P10104;25/1/2026;Mochila urbana;acessorios;5;189.00;site
P10105;14/03/2026;Camiseta básica;VESTUARIO;3;49.90;site
P10106;27/05/2026;Óculos de sol
P10107;07/01/2026;Óculos de sol;acessorios;1;149,00;marketplace
P10108;2026-02-19;Mochila urbana;ACESSORIOS;4;189,00;site
P10109;18/5/2026;Boné aba reta;ACESSORIOS;1;R$ 59,90;site
P10110;04/06/2026;Bermuda tactel;VESTUARIO;2;69.90;site
P10111;14/04/2026;Boné aba reta
P10112;22/5/2026;Boné aba reta;acessorios;3;59,90;loja
P10113;10/4/2026;Boné aba reta;acessorios;3;59.90;loja
P10114;2026-03-02;Tênis corrida;calcados;4;ERRO_IMPORT;site
P10115;2026-02-21;Camiseta básica;VESTUARIO;5;49.90;loja
P10116;2026-03-04;Mochila urbana;acessorios;1;R$ 189,00;loja
P10117;2026-04-27;Camiseta básica;vestuario;3;49,90;marketplace
P10118;15/2/2026;Camiseta básica;VESTUARIO;2;49.90;site
P10119;25/1/2026;Chinelo slide;calcados;4;R$ 39,90;site
P10120;16/02/2026;Chinelo slide;calcados;1;R$ 39,90;site
P10121;23/5/2026;Chinelo slide;calcados;3;39,90;marketplace
P10122;2026-03-06;Mochila urbana;acessorios;5;189,00;marketplace
P10123;2026-01-12;Camiseta básica;vestuario;5;49.90;marketplace
P10124;19/2/2026;Bermuda tactel;vestuario;1;R$ 69,90;loja
P10125;18/05/2026;Calça jeans
P10126;23-04-26;Mochila urbana;ACESSORIOS;1;189,00;loja
P10127;2026-04-14;Camiseta básica;vestuario;4;49.90;loja
P10128;2026-04-26;Boné aba reta;acessorios;2;59,90;site
P10129;2026-05-16;Calça jeans;vestuario;1;129.90;marketplace
P10130;04-01-26;Óculos de sol;acessorios;1;R$ 149,00;loja
P10131;16-02-26;Camiseta básica;vestuario;3;R$ 49,90;site
P10132;13-04-26;Camiseta básica;vestuario;2;49.90;loja
P10133;2026-02-20;Jaqueta corta-vento;  vestuario ;4;219.90;loja
P10134;19/06/2026;Camiseta básica;vestuario;2;R$ 49,90;site
P10135;2026-05-16;Camiseta básica;VESTUARIO;1;49,90;marketplace
P10136;4/1/2026;Camiseta básica;vestuario;4;49,90;marketplace
P10137;24-01-26;Bermuda tactel;vestuario;3;69,90;loja
P10138;14/05/2026;Calça jeans;VESTUARIO;4;129.90;marketplace
P10139;10/3/2026;Chinelo slide;calcados;5;39.90;loja
P10140;06/01/2026;Camiseta básica;vestuario;4;49,90;loja
P10141;03-02-26;Tênis corrida;CALCADOS;1;299,00;loja
P10142;06-06-26;Calça jeans;vestuario;3;129.90;marketplace
P10143;5/5/2026;MOCHILA URBANA;acessorios;1;189,00;loja
P10144;17/4/2026;Mochila urbana;ACESSORIOS;5;189,00;loja
P10145;28-03-26;Bermuda tactel;vestuario;5;69.90;marketplace
P10146;03-06-26;CALÇA JEANS;vestuario;5;129.90;loja
P10147;2026-02-14;Bermuda tactel;vestuario;1;69.90;loja
P10148;03-05-26;Chinelo slide;calcados;1;39,90;site
P10149;2026-01-28;MOCHILA URBANA;ACESSORIOS;4;189.00;site
P10150;14/01/2026;Jaqueta corta-vento;vestuario;4;219,90;marketplace
P10151;1/5/2026;Óculos de sol;acessorios;2;149,00;site
P10152;02-05-26;Chinelo slide;calcados;5;R$ 39,90;marketplace
P10153;20-01-26;CAMISETA BÁSICA;vestuario;3;R$ 49,90;marketplace
P10154;20/03/2026;Óculos de sol;acessorios;1;149,00;site
P10155;20/4/2026;Camiseta básica;vestuario;5;49.90;marketplace
P10156;2026-02-08;Tênis corrida;calcados;5;R$ 299,00;site
P10157;24/03/2026;Tênis corrida;CALCADOS;2;299,00;site
P10158;16-04-26;Camiseta básica;vestuario;1;49,90;marketplace
P10159;2026-05-17;Boné aba reta;acessorios;1;59,90;loja
P10160;23-03-26;BERMUDA TACTEL;vestuario;2;69,90;site
P10161;22/2/2026;MOCHILA URBANA;acessorios;5;189,00;loja
P10162;2026-03-25;Óculos de sol;ACESSORIOS;2;149,00;site
P10163;03/02/2026;Mochila urbana;acessorios;1;189,00;marketplace
P10164;21/06/2026;Calça jeans;vestuario;3;129,90;site
P10165;2026-04-16;Bermuda tactel;  vestuario ;4;69.90;site
P10166;20-02-26;Tênis corrida;calcados;5;299,00;loja
P10167;2026-06-17;Boné aba reta;  acessorios ;1;59,90;site
P10168;4/1/2026;CAMISETA BÁSICA;vestuario;5;49,90;site
P10169;11/04/2026;Bermuda tactel;vestuario;1;R$ 69,90;loja
P10170;2026-01-17;CHINELO SLIDE;calcados;2;39,90;marketplace
P10171;10/06/2026;Calça jeans;vestuario;2;129,90;loja
P10172;25-06-26;Camiseta básica;VESTUARIO;2;49.90;loja
P10173;2026-01-27;Meia kit 3;vestuario;3;ERRO_IMPORT;marketplace
P10174;17/06/2026;Bermuda tactel;vestuario;1;69,90;loja
P10175;05/06/2026;Jaqueta corta-vento;vestuario;4;219,90;loja
P10176;2026-05-24;Óculos de sol;acessorios;2;ERRO_IMPORT;marketplace
P10177;28/02/2026;Mochila urbana;acessorios;4;189,00;loja
P10178;5/4/2026;Tênis corrida;calcados;1;299.00;site
P10032;2026-06-17;Calça jeans;vestuario;4;129,90;site
P10179;02/03/2026;Bermuda tactel;vestuario;5;69.90;marketplace
P10180;2026-04-01;Bermuda tactel;  vestuario ;4;69,90;loja
P10181;18/03/2026;CHINELO SLIDE;calcados;1;39.90;marketplace
P10182;21/6/2026;Boné aba reta;acessorios;5;59,90;marketplace
P10183;07-01-26;Chinelo slide;CALCADOS;3;39.90;marketplace

P10184;20/03/2026;Boné aba reta;acessorios;5;59,90;site
P10185;8/5/2026;CALÇA JEANS;vestuario;1;129.90;marketplace
P10186;10/4/2026;BERMUDA TACTEL;vestuario;3;69,90;loja
P10187;17-01-26;Boné aba reta;acessorios;1;59.90;marketplace
P10188;10-06-26;Calça jeans;vestuario;2;129.90;site
P10189;2026-02-22;Bermuda tactel;VESTUARIO;3;69.90;marketplace
P10190;2026-05-22;TÊNIS CORRIDA;calcados;5;299,00;site
P10191;2026-04-17;Óculos de sol;ACESSORIOS;4;149,00;marketplace
P10192;20/6/2026;Meia kit 3;VESTUARIO;4;24.50;marketplace
P10193;23/04/2026;Tênis corrida;calcados;4;299.00;loja
P10194;15/02/2026;CAMISETA BÁSICA;vestuario;3;49,90;marketplace
P10195;06-02-26;Camiseta básica;vestuario;4;R$ 49,90;marketplace
P10196;12-05-26;Óculos de sol;acessorios;2;R$ 149,00;loja
P10197;2026-02-13;Bermuda tactel;vestuario;4;R$ 69,90;site
P10198;23/05/2026;Bermuda tactel;vestuario;5;69.90;site
P10199;8/3/2026;Meia kit 3;VESTUARIO;1;24,50;loja
P10200;2026-02-20;Jaqueta corta-vento;vestuario;5;219,90;loja
P10201;02-04-26;Camiseta básica;vestuario;4;R$ 49,90;site
P10202;10/04/2026;Mochila urbana;acessorios;5;R$ 189,00;marketplace
P10203;03-02-26;Óculos de sol;acessorios;2;149.00;site
P10204;13-03-26;Calça jeans;vestuario;1;R$ 129,90;marketplace
P10205;26-05-26;Mochila urbana;ACESSORIOS;5;189.00;site
P10206;19-01-26;CHINELO SLIDE;  calcados ;2;R$ 39,90;marketplace
P10207;03/02/2026;Óculos de sol
P10208;10/01/2026;Tênis corrida;calcados;4;299,00;marketplace
P10209;27/02/2026;Bermuda tactel;vestuario;5;69,90;marketplace
P10210;2026-04-01;Mochila urbana;acessorios;1;ERRO_IMPORT;site
P10211;18/3/2026;Meia kit 3;vestuario;3;24,50;marketplace
P10212;20/02/2026;Camiseta básica;vestuario;5;R$ 49,90;marketplace
P10213;19/2/2026;Jaqueta corta-vento;vestuario;2;R$ 219,90;loja
P10214;2026-03-24;Tênis corrida;CALCADOS;4;R$ 299,00;loja
P10215;19/01/2026;Mochila urbana;acessorios;2;189,00;site
P10216;20/5/2026;CALÇA JEANS;  vestuario ;1;129,90;marketplace
P10217;18/06/2026;Óculos de sol;acessorios;4;R$ 149,00;loja
P10218;03/03/2026;Tênis corrida;  calcados ;3;299.00;site
P10219;01/05/2026;Tênis corrida;calcados;3;299.00;site
P10109;18/5/2026;Boné aba reta;ACESSORIOS;1;R$ 59,90;site
P10220;2026-03-04;Meia kit 3;vestuario;4;ERRO_IMPORT;loja
P10221;05-05-26;Tênis corrida;calcados;4;299,00;marketplace
P10222;03-06-26;Meia kit 3;vestuario;3;24.50;marketplace
P10223;23-02-26;Mochila urbana;acessorios;4;189,00;marketplace
P10224;22/06/2026;Tênis corrida;CALCADOS;4;299,00;site
P10225;09-01-26;Boné aba reta;acessorios;1;R$ 59,90;loja
P10226;25-06-26;Boné aba reta;acessorios;2;59.90;marketplace
P10227;15-06-26;Boné aba reta;acessorios;1;R$ 59,90;marketplace
P10228;2026-03-27;Mochila urbana;acessorios;2;189,00;marketplace
P10229;18/6/2026;Mochila urbana;acessorios;1;189,00;site
P10230;2026-02-06;Bermuda tactel;  vestuario ;3;69.90;marketplace
P10231;20/06/2026;Boné aba reta;acessorios;3;59,90;site
P10232;11/4/2026;Chinelo slide;calcados;1;R$ 39,90;site
P10233;28/4/2026;Calça jeans;vestuario;3;129,90;marketplace
P10234;27/05/2026;Jaqueta corta-vento;vestuario;2;219.90;site
P10235;2026-01-04;Mochila urbana;ACESSORIOS;4;189,00;site
P10236;2026-03-27;Mochila urbana;acessorios;4;189,00;site
P10237;2026-05-02;Tênis corrida;  calcados ;5;299,00;loja
P10238;2026-01-26;Tênis corrida;CALCADOS;5;299.00;marketplace
P10239;16-01-26;Bermuda tactel;VESTUARIO;2;69,90;loja
P10240;2026-06-22;Camiseta básica;vestuario;4;49.90;site
P10241;24-02-26;Meia kit 3;vestuario;3;24.50;site
P10242;11-04-26;BERMUDA TACTEL;VESTUARIO;4;69.90;site
P10243;02-03-26;Óculos de sol;acessorios;4;149,00;loja
P10244;22/01/2026;Jaqueta corta-vento;vestuario;5;R$ 219,90;loja
P10245;26/01/2026;Jaqueta corta-vento;vestuario;1;R$ 219,90;marketplace
P10246;02/05/2026;Calça jeans;  vestuario ;4;129,90;loja
P10247;2026-02-25;Camiseta básica;vestuario;4;49,90;site
P10248;17/05/2026;Óculos de sol;acessorios;5;149,00;loja
P10249;17/2/2026;Mochila urbana;acessorios;1;R$ 189,00;marketplace
P10250;22-04-26;Chinelo slide;calcados;1;39,90;loja
P10251;7/2/2026;Óculos de sol;acessorios;2;149.00;marketplace
P10252;2026-02-03;Jaqueta corta-vento;vestuario;1;ERRO_IMPORT;loja
P10253;15/02/2026;Bermuda tactel;vestuario;1;69,90;site
P10254;21-04-26;Bermuda tactel;vestuario;3;69.90;site
P10255;14/1/2026;Tênis corrida;CALCADOS;3;299.00;loja
P10256;2026-03-09;Calça jeans;VESTUARIO;4;129.90;site
P10257;16/05/2026;Calça jeans
P10258;27/06/2026;Jaqueta corta-vento
P10259;26-02-26;Óculos de sol;acessorios;4;R$ 149,00;loja
P10260;10/01/2026;Chinelo slide;CALCADOS;1;39.90;loja
P10261;22/1/2026;Mochila urbana;acessorios;1;R$ 189,00;site
P10262;23/6/2026;Mochila urbana;acessorios;3;189.00;loja
P10263;2026-02-01;Bermuda tactel;vestuario;5;69,90;site
P10264;6/5/2026;Óculos de sol;acessorios;2;149.00;site
P10265;7/4/2026;Bermuda tactel;vestuario;5;69.90;loja
P10266;2026-01-20;Camiseta básica;VESTUARIO;2;49,90;site
P10267;2026-06-19;TÊNIS CORRIDA;calcados;1;299,00;loja
P10268;3/2/2026;Calça jeans;vestuario;5;129,90;site
P10269;2026-05-04;Óculos de sol;acessorios;1;149,00;marketplace
P10270;28/02/2026;Óculos de sol;acessorios;2;149.00;site
P10271;01/06/2026;Boné aba reta;ACESSORIOS;2;59.90;marketplace
P10272;6/6/2026;BERMUDA TACTEL;VESTUARIO;4;R$ 69,90;loja
P10273;22/05/2026;Tênis corrida;  calcados ;1;R$ 299,00;loja
P10274;2026-03-21;Mochila urbana;acessorios;5;189,00;site
P10275;2026-02-09;Jaqueta corta-vento;vestuario;4;R$ 219,90;site
P10276;2026-02-16;Camiseta básica;vestuario;2;R$ 49,90;loja
P10277;13/01/2026;Calça jeans
P10278;06-04-26;Chinelo slide;CALCADOS;5;R$ 39,90;site
P10279;07-05-26;Camiseta básica;vestuario;4;49,90;loja
P10280;2026-05-14;Calça jeans;vestuario;4;129,90;marketplace
P10281;2026-04-01;Meia kit 3;vestuario;3;24,50;marketplace
P10282;18/06/2026;Jaqueta corta-vento;VESTUARIO;5;R$ 219,90;marketplace
P10283;2026-01-07;Mochila urbana;acessorios;3;ERRO_IMPORT;loja
P10284;16/3/2026;Jaqueta corta-vento;vestuario;3;219,90;loja
P10285;2026-04-12;Meia kit 3;vestuario;2;24,50;loja
P10286;09-06-26;Óculos de sol;acessorios;3;149,00;marketplace
P10287;12-05-26;Tênis corrida;calcados;2;299.00;marketplace
P10288;07/03/2026;Meia kit 3;vestuario;5;24,50;loja
P10289;27/01/2026;Jaqueta corta-vento;vestuario;5;219.90;site
P10290;23-03-26;Jaqueta corta-vento;vestuario;5;219,90;site
P10291;14/04/2026;Jaqueta corta-vento;vestuario;4;R$ 219,90;marketplace
P10292;14-06-26;Óculos de sol;acessorios;3;149,00;site
P10293;11/06/2026;Meia kit 3;VESTUARIO;4;24.50;marketplace
P10294;15/6/2026;Calça jeans;vestuario;5;129,90;site
P10295;15/05/2026;Chinelo slide
P10296;20/05/2026;Boné aba reta;  acessorios ;4;59,90;site
P10297;8/4/2026;ÓCULOS DE SOL;acessorios;3;149,00;marketplace
P10298;24/06/2026;Boné aba reta;acessorios;2;59,90;marketplace
P10299;25-02-26;Chinelo slide;calcados;1;39.90;marketplace
P10300;07/02/2026;Calça jeans;vestuario;1;129.90;marketplace
P10301;20/3/2026;Bermuda tactel;vestuario;1;69,90;loja
P10302;13/01/2026;MOCHILA URBANA;ACESSORIOS;4;189,00;loja
P10044;16/3/2026;Boné aba reta;acessorios;2;R$ 59,90;site
P10303;04/06/2026;Óculos de sol;acessorios;1;149,00;marketplace
P10304;25/03/2026;Óculos de sol;acessorios;2;149,00;loja
P10305;2026-02-02;Boné aba reta;acessorios;2;59,90;site
P10306;10/02/2026;Tênis corrida;calcados;3;299,00;loja
P10307;09-02-26;Jaqueta corta-vento;vestuario;4;219.90;loja
P10308;2026-05-02;Mochila urbana;  acessorios ;3;189,00;marketplace
P10309;2026-01-17;ÓCULOS DE SOL;acessorios;1;R$ 149,00;loja
P10310;23/4/2026;Óculos de sol;  acessorios ;4;R$ 149,00;marketplace
P10311;23/1/2026;Tênis corrida;calcados;5;299.00;marketplace
P10312;18/5/2026;BONÉ ABA RETA;acessorios;3;59,90;site
P10313;10/06/2026;Tênis corrida;CALCADOS;4;299,00;loja
P10314;2026-01-17;Meia kit 3;vestuario;5;ERRO_IMPORT;loja
P10315;2026-03-24;Chinelo slide;calcados;1;39.90;marketplace
P10316;2026-01-17;MEIA KIT 3;VESTUARIO;1;24,50;loja
P10317;27/02/2026;Meia kit 3
P10318;15/4/2026;Calça jeans;vestuario;4;129,90;loja
P10319;25/06/2026;Tênis corrida;calcados;5;R$ 299,00;site
P10320;15/3/2026;Meia kit 3;VESTUARIO;4;24,50;site
P10321;06-01-26;Meia kit 3;vestuario;5;R$ 24,50;loja
P10322;02/03/2026;Jaqueta corta-vento;vestuario;2;219,90;loja
P10323;14/4/2026;Camiseta básica;vestuario;4;49,90;site
P10324;2026-02-02;Boné aba reta;acessorios;4;59,90;site
P10325;13-06-26;Meia kit 3;VESTUARIO;2;24.50;marketplace
P10326;17/02/2026;Bermuda tactel;vestuario;4;69,90;site
P10327;24-02-26;JAQUETA CORTA-VENTO;vestuario;2;219,90;loja
P10328;14-04-26;Meia kit 3;vestuario;1;R$ 24,50;loja
P10329;20-01-26;Jaqueta corta-vento;vestuario;4;219,90;marketplace
P10330;2026-05-22;Camiseta básica;vestuario;3;49,90;site
P10331;02-03-26;Chinelo slide;CALCADOS;2;39,90;loja
P10332;2026-03-17;Camiseta básica;vestuario;1;R$ 49,90;marketplace
P10333;2026-06-08;Calça jeans;vestuario;3;129,90;marketplace
P10334;19/6/2026;Jaqueta corta-vento;  vestuario ;1;219,90;site
P10335;21/03/2026;Chinelo slide;calcados;5;39,90;loja
P10336;5/2/2026;Camiseta básica;  vestuario ;3;R$ 49,90;site
P10337;1/1/2026;Camiseta básica;vestuario;4;R$ 49,90;site
P10338;3/3/2026;Calça jeans;vestuario;1;129.90;loja
P10339;27-03-26;Calça jeans;vestuario;1;R$ 129,90;marketplace
P10340;27-01-26;Bermuda tactel;VESTUARIO;4;69,90;site
P10341;18/05/2026;Bermuda tactel;VESTUARIO;5;69,90;site
P10342;2026-03-04;Boné aba reta;acessorios;2;59.90;marketplace
P10343;11/5/2026;Mochila urbana;ACESSORIOS;5;189.00;loja
P10092;8/1/2026;Boné aba reta;acessorios;1;R$ 59,90;loja
P10344;01-04-26;Mochila urbana;acessorios;4;189,00;loja
P10345;2026-02-23;Calça jeans;vestuario;2;129,90;marketplace
P10346;2026-01-08;Camiseta básica;vestuario;4;49,90;site
P10347;2026-01-20;Meia kit 3;vestuario;3;R$ 24,50;site
P10348;5/5/2026;ÓCULOS DE SOL;acessorios;4;149,00;loja
P10349;01-01-26;Bermuda tactel;vestuario;5;R$ 69,90;marketplace
P10350;13-05-26;Mochila urbana;ACESSORIOS;3;189,00;marketplace
P10351;3/6/2026;Calça jeans;vestuario;5;129,90;loja
P10352;10-06-26;Tênis corrida;calcados;1;R$ 299,00;marketplace
P10353;2026-06-09;Bermuda tactel;vestuario;3;69,90;site
P10354;10/06/2026;Calça jeans;vestuario;5;129,90;loja
P10355;12-04-26;Calça jeans;vestuario;3;129.90;loja
P10356;13/02/2026;Calça jeans
P10357;12/01/2026;Óculos de sol;acessorios;3;149.00;site
P10358;16/02/2026;Camiseta básica;vestuario;3;49.90;marketplace
P10359;2026-02-10;Mochila urbana;acessorios;3;R$ 189,00;marketplace
P10360;06-02-26;Mochila urbana;acessorios;4;189.00;site
P10361;20-02-26;Óculos de sol;acessorios;1;149,00;site
P10362;2026-02-21;Calça jeans;VESTUARIO;4;R$ 129,90;site
P10363;6/1/2026;Bermuda tactel;VESTUARIO;2;69,90;marketplace
P10364;15/2/2026;Mochila urbana;acessorios;2;189.00;site
P10365;25/02/2026;Meia kit 3;vestuario;4;24.50;loja
P10366;2026-04-24;Meia kit 3;vestuario;3;24.50;loja
P10367;08-06-26;Tênis corrida;calcados;5;299,00;loja
P10368;21/06/2026;Chinelo slide;calcados;4;39.90;site
P10369;23/5/2026;Boné aba reta;acessorios;5;59.90;loja
P10370;2026-04-19;Bermuda tactel;vestuario;3;ERRO_IMPORT;marketplace
P10371;13/4/2026;Camiseta básica;vestuario;5;R$ 49,90;marketplace
P10372;22-06-26;Jaqueta corta-vento;vestuario;5;R$ 219,90;loja
P10373;25/01/2026;Jaqueta corta-vento
P10374;5/2/2026;Boné aba reta;ACESSORIOS;4;59.90;marketplace
P10375;2026-01-01;Camiseta básica;  vestuario ;4;49.90;loja
P10376;14/4/2026;Boné aba reta;acessorios;5;59,90;site
P10377;21/6/2026;Meia kit 3;  vestuario ;3;R$ 24,50;marketplace
P10378;24/5/2026;Jaqueta corta-vento;vestuario;2;219,90;site
P10379;07-06-26;Chinelo slide;calcados;3;39,90;site
P10380;10/4/2026;Bermuda tactel;  vestuario ;1;69,90;site
P10381;1/2/2026;Meia kit 3;vestuario;1;R$ 24,50;marketplace
P10382;10/3/2026;Tênis corrida;calcados;3;299.00;loja
P10383;02/02/2026;Tênis corrida;calcados;5;299.00;site
P10384;18/06/2026;Mochila urbana;acessorios;3;R$ 189,00;marketplace
P10385;01/02/2026;Camiseta básica;vestuario;3;49,90;marketplace
P10386;2026-05-28;Chinelo slide;calcados;2;39.90;loja
P10387;04-05-26;BERMUDA TACTEL;vestuario;3;69.90;loja
P10388;24/3/2026;Meia kit 3;vestuario;2;24,50;site
P10389;02/01/2026;Meia kit 3;vestuario;5;24,50;loja
P10390;1/1/2026;Meia kit 3;vestuario;5;R$ 24,50;loja
P10391;09-04-26;Calça jeans;  vestuario ;2;129,90;loja
P10392;19-05-26;Jaqueta corta-vento;vestuario;3;219.90;site
P10393;2026-04-25;BERMUDA TACTEL;vestuario;3;69,90;loja
